Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price,Variation
2015-01-19,210.0,225.51,210.0,225.51,0.41000000000000003,86.2551,0.45976495726495725,7.385714285714282
2015-01-20,225.51,225.51,208.0,218.0,0.04,8.58,0.5958333333333333,-3.330229258126022
2015-01-21,218.0,225.51,218.0,225.51,0.13770722000000002,30.6726051822,0.7728843005972224,3.4449541284403624
2015-01-22,225.51,257.73,216.59,226.32,4.359999999999998,1000.7456999999998,15.475981776854168,0.35918584541705567
2015-01-23,226.32,235.0,215.0,235.0,0.18000100000000002,41.450215,1.58125,3.8352774832096177
2015-01-24,235.0,250.58,215.0,240.0,1.74,431.76000000000005,2.011513888888889,2.127659574468085
2015-01-25,250.0,256.26,240.0,254.53,478.75554094,120120.06250698002,13.04967006247222,1.8120000000000005
2015-01-26,254.53,322.72,241.43,274.48,5180.31879406001,1447051.0143072696,89.07492556704858,7.837975877106832
2015-01-27,274.73,278.47,244.03,263.65,1630.211765529998,427983.2083025341,143.18925224197935,-4.033050631529153
2015-01-28,263.67,265.99,228.5,236.09,5339.784137060006,1314645.014508853,163.86361837452083,-10.46004475291084
2015-01-29,235.89,242.0,221.14,235.03,6640.491647900005,1549719.4474985143,177.04172490689567,-0.36457670948322746
2015-01-30,235.0,244.59,227.89,229.07,5774.295652190007,1349810.548556779,155.26599398677786,-2.523404255319152
2015-01-31,230.06,234.67,217.11,218.45,5595.577390790003,1276926.8453179207,155.72634478281284,-5.046509606189695
2015-02-01,218.67,233.79,210.0,228.99,7233.474721950001,1604733.2557261758,165.02731779545832,4.719440252435186
2015-02-02,228.39,240.1,220.89,237.83,7451.634216180004,1702185.9918133344,153.75257024243064,4.1332807916283665
2015-02-03,237.83,243.9,225.32,228.58,8321.942988640014,1969890.5340883827,181.6405517437915,-3.889332716646344
2015-02-04,228.77,230.99,221.5,227.11,9147.699274420009,2068610.2127393507,193.53156988324298,-0.7256196179568984
2015-02-05,227.11,228.9,215.0,216.76,7405.301528929999,1636499.4479942448,176.05598959552074,-4.55726300030823
2015-02-06,216.84,226.64,216.03,223.2,5693.965066640012,1260281.164787932,180.45331024437476,2.9330381848367395
2015-02-07,223.2,230.5,222.67,229.0,4099.998907730004,930434.5417842997,170.20057035936833,2.5985663082437327
2015-02-08,229.16,231.6,220.0,223.99,4294.595190810006,967763.4984782791,167.90585442816666,-2.2560656310001694
2015-02-09,224.0,225.0,216.45,221.1,6551.3433682100085,1448609.9925541268,182.6320079571108,-1.2946428571428596
2015-02-10,221.13,222.0,215.0,220.87,5397.879752130008,1181380.4705088318,153.41261799147915,-0.11757789535566901
2015-02-11,220.87,223.61,217.46,219.81,8986.848176970001,1988669.4907742285,206.57196773076373,-0.47992031511749095
2015-02-12,219.96,224.61,218.0,223.21,7833.478759890022,1730366.602561474,205.16369645994462,1.4775413711583922
2015-02-13,223.2,242.36,221.55,236.49,15257.970993000008,3573923.7227579034,226.27737774869445,5.954301075268827
2015-02-14,236.92,259.98,236.08,256.66,15320.096153000024,3813151.5431146366,237.51096550943745,8.331926388654415
2015-02-15,256.66,267.86,228.0,235.54,16943.7894117,4184850.426543928,240.34955554245127,-8.228785163251006
2015-02-16,235.54,241.0,229.6,234.68,10505.84218244002,2472037.6427581375,224.63914806356271,-0.3651184512184704
2015-02-17,234.41,248.0,233.0,244.82,16806.65257222001,4047492.9651113153,228.9674953163332,4.44093682010153
2015-02-18,244.9,246.0,231.93,237.49,12926.173137640004,3095906.0746357464,230.7483803824304,-3.025724785626785
2015-02-19,237.49,245.0,235.58,240.9,9467.69858158001,2268989.5902464823,224.43813472863908,1.4358499305233892
2015-02-20,241.11,248.32,239.99,245.34,11201.812025649986,2735637.333857259,233.86428401495115,1.7543859649122764
2015-02-21,245.34,248.43,244.0,245.99,6213.950503040019,1527197.7527324185,225.34073742111815,0.2649384527594382
