Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price,Variation
2015-07-05,249.11,275.25,249.09,271.74,54260.830156570075,14095366.74349158,228.7661457074624,9.084340251294606
2015-07-12,272.17,316.52,264.41,312.16,69086.9650760201,19577984.057430625,263.5331436925586,14.693022743138481
2015-07-19,312.19,312.91,272.64,275.61,50997.021972179726,14593703.684655191,262.8444620564682,-11.717223485697808
2015-07-26,275.6,294.49,273.34,293.89,35615.193627120054,10047938.786685266,253.1750792712245,6.636429608127707
2015-08-02,293.88,298.0,277.26,282.62,35555.54637148006,10274513.086906666,258.4885245570537,-3.8314958486457025
2015-08-09,282.62,286.47,260.07,267.63,37460.17628596979,10420054.607318815,253.27670772158044,-5.30394168848631
2015-08-16,267.6,272.4,255.67,259.2,39437.18225658001,10475488.433569858,239.10288211826912,-3.139013452914811
2015-08-23,259.2,261.57,200.0,229.21,60496.377501350056,14372480.757423738,223.77112457236092,-11.570216049382708
2015-08-30,229.23,236.18,198.02,229.39,72456.99505416947,16091584.576241806,206.10256275848178,0.06979889194258893
2015-09-06,229.4,244.82,225.23,241.29,47676.105281680095,11017691.951862823,204.59390679674698,5.183086312118564
2015-09-13,241.26,247.82,229.72,230.82,42173.6769264399,10119321.65948822,210.45681772301688,-4.327281770703804
2015-09-20,230.83,235.93,226.85,232.24,42263.098420469905,9786819.56612473,202.92461734257657,0.6108391456916331
2015-09-27,232.26,237.62,224.45,233.58,45891.21141805997,10651853.162199387,203.2813907025876,0.5683285972616988
2015-10-04,233.53,241.05,233.53,239.87,40289.38102101004,9612002.364768285,211.98772035160263,2.7148546225324384
2015-10-11,239.87,250.0,237.5,249.02,44457.6146093001,10855563.377567664,204.4548982598818,3.814566223370995
2015-10-18,249.01,274.81,244.86,265.0,52081.03809971005,13471739.30804264,225.85907862759407,6.421428858278788
2015-10-25,265.0,295.93,262.05,284.97,48180.26882919003,13347999.808156848,223.350893839961,7.535849056603785
2015-11-01,284.97,336.97,282.04,329.46,89668.76632545967,27861299.552626025,296.4303085079421,15.612169702073883
2015-11-08,329.45,499.99,326.07,373.83,173641.53215287876,69411923.04162712,381.4988666851489,13.470936409166793
2015-11-15,373.84,386.96,293.32,322.93,84345.35380432977,28480810.94107175,328.45591638469466,-13.618125401241166
2015-11-22,322.94,340.72,311.23,323.71,44359.43777440012,14527985.425892122,303.62059664294856,0.23843438409611128
2015-11-29,323.72,373.63,316.26,372.24,50252.61440465998,17220916.765387315,316.5570172314865,14.988261460521432
2015-12-06,372.25,401.01,347.55,387.55,61138.622212460185,22694733.633114472,357.31435049616437,4.110141034251178
2015-12-13,387.53,469.34,383.0,433.83,86517.61255439982,36673134.04984915,400.5749703237585,11.94746213196398
2015-12-20,433.38,465.6,429.12,442.22,239234.43419744025,107002492.53377426,403.6925198859966,2.039780331348939
2015-12-27,442.36,460.0,410.0,424.72,50493.8814304702,22050895.22146494,402.09173977173424,-3.987702323899084
2016-01-03,424.73,437.56,418.0,431.91,35726.346826490015,15318139.51273342,398.62969119401373,1.6904857203399823
2016-01-10,431.9,464.4,428.15,449.99,46977.77397739003,20920991.354805022,419.9749740803811,4.188469553137308
2016-01-17,449.99,452.65,350.92,378.46,81782.68047113977,33009691.409845956,390.9208490316747,-15.895908797973293
2016-01-24,378.47,425.1,369.0,403.05,62749.6466778303,24684207.122167572,328.91976373799736,6.494570243348213
2016-01-31,403.05,403.05,363.25,367.95,50667.27307366007,19492366.10199776,352.31894656404927,-8.70859694826945
2016-02-07,367.89,390.63,365.63,377.49,48708.264373729835,18333032.522793747,352.88244104404197,2.6094756584848793
2016-02-14,377.47,406.92,361.1,406.59,55293.348544210035,21017802.40728011,355.1673562947727,7.714520359233832
2016-02-21,406.62,448.7,390.0,438.56,49697.77380626001,20845404.917873178,387.2863613584522,7.854999754070138
2016-02-28,438.57,440.9,410.0,433.73,45025.55543290989,19222443.007713206,398.73207233929605,-1.103586656634055
2016-03-06,433.73,442.0,381.09,403.24,65971.19301775967,27440574.36558665,394.66431521932446,-7.029718949576927
2016-03-13,403.24,421.3,395.0,412.52,49322.65000677976,20350212.92531647,385.34556563844,2.301358992163469
2016-03-20,412.51,419.75,399.21,411.27,44574.87186569013,18429715.077097632,387.8342698573102,-0.3005987733630722
2016-03-27,411.25,426.5,406.89,425.3,35614.480707970026,14804229.207005348,376.5720269940845,3.4164133738601854
2016-04-03,425.29,425.36,407.56,420.16,36719.66704396992,15319558.991671586,387.2396586590488,-1.2062357450210435
2016-04-10,420.08,424.65,415.51,423.4,34237.795890130095,14413452.369188914,393.8469769101662,0.7903256522567114
2016-04-17,423.29,434.93,420.15,431.0,34325.313031699945,14673494.224220091,383.49518132214587,1.8214462897776889
2016-04-24,431.08,465.0,428.44,464.46,43969.89493275978,19527849.762003973,423.99686531470985,7.743342303052797
2016-05-01,464.47,472.38,434.79,456.98,49491.6232035599,22675610.02462858,431.6880320362813,-1.6125906947703852
2016-05-08,456.98,465.0,440.02,462.79,36739.68489591004,16609403.741459552,428.81434610016044,1.2713904328417003
